Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
XXII,22nd Century Group Inc,1.21,$85.87M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.48,$1.2B,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,5.47,$125.47M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,Aberdeen Chile Fund Inc.,5.71,$53.6M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,11.0445,$107.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe           
FCO,Aberdeen Global Income Fund Inc.,7.62,$68.63M,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,Aberdeen Indonesia Fund Inc.,5.77,$54.73M,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,Aberdeen Israel Fund Inc.,17.7263,$71.57M,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
ACU,Acme United Corporation.,17.23,$58.08M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
AIII,ACRE Realty Investors Inc.,1.26,$25.29M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
ATNM,Actinium Pharmaceuticals Inc.,1.97,$82.77M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
AE,Adams Resources & Energy Inc.,39.25,$165.54M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADK,Adcare Health Systems Inc,2.24,$44.58M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
ADK^A,Adcare Health Systems Inc,19.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a
