Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,9.2,$1.03B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,157.75,$97.13B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,19.51,$817.35M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,61.41,$8.55B,2013,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/wuba
AHC,A.H. Belo Corporation,5.24,$112.9M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,A10 Networks Inc.,7.37,$466.78M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,AAC Holdings Inc.,21.63,$484.67M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,23.58,$830.16M,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,Aaron&#39;s  Inc.,23.58,$1.71B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,18.49,$40.97B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,45.56,$67.96B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,56.27,$91.99B,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,26.46,$1.83B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
GCH,Aberdeen Greater China Fund Inc.,9.06,$83.24M,1992,n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,Aberdeen Japan Equity Fund Inc. ,7.7975,$106.54M,1992,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,Aberdeen Singapore Fund Inc.,8.75,$67.36M,1990,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,28.92,$1.62B,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,32.75,$2.26B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc.,108.94,$70.6B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,7.52,$799.99M,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ACW,Accuride Corporation New,2.25,$107.9M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/acw
ACE,Ace Limited,117.13,$37.97B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ace
ATV,Acorn International Inc.,8.26,$5.14M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,23.52,$1.4B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,227.63,$9.93B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
ADX,Adams Diversified Equity Fund Inc.,12.93,$1.2B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
